"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"3";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED-B, LED-G, LED_B1";"LED";"28";"";
"2";"";"PINHD-1X11";"1X11";"BSK2, BSK4";"PIN HEADER";"";"";
"1";"";"PINHD-1X14";"1X14";"BSK3";"PIN HEADER";"";"";
"2";"";"PINHD-1X2";"1X02";"CAM1, CAM2";"PIN HEADER";"";"";
"1";"";"PINHD-1X20";"1X20";"BSK1";"PIN HEADER";"";"";
"8";"0,1µ";"C-USC0603";"C0603";"C7, C8, C10, C12, C14, C15, C17, C33";"CAPACITOR, American symbol";"37";"C";
"1";"0.05A";"R-EU_R1210";"R1210";"R15";"RESISTOR, European symbol";"0";"R";
"2";"0.5A";"R-EU_R1210";"R1210";"R19, R33";"RESISTOR, European symbol";"0";"R";
"3";"100R";"R-US_R0603";"R0603";"R17, R31, R32";"RESISTOR, American symbol";"";"";
"2";"100k";"R-US_R0603";"R0603";"R16, R27";"RESISTOR, American symbol";"";"";
"1";"10µ";"C-EUC1206";"C1206";"C3";"CAPACITOR, European symbol";"54";"C";
"1";"12k";"R-US_R0603";"R0603";"R5";"RESISTOR, American symbol";"";"";
"3";"1M";"R-US_R0603";"R0603";"R4, R14, R20";"RESISTOR, American symbol";"";"";
"1";"1nF";"C-USC0603";"C0603";"C4";"CAPACITOR, American symbol";"37";"C";
"6";"22µ";"C-USC1206";"C1206";"C1, C2, C5, C6, C9, C13";"CAPACITOR, American symbol";"24";"C";
"3";"2k";"R-US_R0603";"R0603";"R2, R3, R7";"RESISTOR, American symbol";"";"";
"2";"33p";"C-USC0603";"C0603";"C11, C16";"CAPACITOR, American symbol";"37";"C";
"5";"3k3";"R-US_R0603";"R0603";"R18, R21, R22, R23, R24";"RESISTOR, American symbol";"";"";
"2";"40k2";"R-US_R0603";"R0603";"R25, R28";"RESISTOR, American symbol";"";"";
"4";"5k1";"R-US_R0603";"R0603";"R1, R6, R10, R11";"RESISTOR, American symbol";"";"";
"4";"74HC595";"74HC595";"TSSOP16";"74HC595#1, 74HC595#2, 74HC595#3, 74HC595#4";"";"";"";
"2";"8k87";"R-US_R0603";"R0603";"R26, R29";"RESISTOR, American symbol";"";"";
"1";"DS18B20Z";"DS18B20Z";"SOIC8+HEAT_S";"U$5";"";"";"";
"1";"E22-400M30S";"E22-400M30S";"E22-400M30S";"U$1";"EBYTE E22400M30S radio module";"";"";
"1";"EM_HEAT";"EM_HEAT";"EM_HEAT";"U$24";"";"";"";
"1";"ESP32WROOM";"ESP32WROOM";"ESP32WROOM";"U$13";"";"";"";
"1";"FFC-CONNECT68611";"FFC-CONNECT68611";"68611";"U$21";"";"";"";
"2";"L_3.3MKH";"L_3.3MKH_5X5";"L_SPM5020";"L_3.3, L_3.3-1";"";"";"";
"2";"MP1584-B";"MP1584-B";"MP1584-B";"MP1584EN-3V3, MP1584EN-5V";"";"";"";
"2";"MP2225";"MP2225";"TSOT23-8";"MP2225-3V3, MP2225-5V";"";"";"";
"2";"PCB-"BKU"";"ITS-LOGOPCB-""";"ITS-LOGO";"U$2, U$6";"";"";"";
"1";"SD";"SD";"SD";"SD";"";"";"";
"3";"SI2302CDS";"SI2302CDS";"SOT23-3";"U$3, U$4, U$23";"";"";"";
